INFORMATION TYPE,DATE,PERIOD,USEP ($/MWh),LCP ($/MWh),DEMAND (MW),SOLAR(MW),TCL(MW)
USEP,8-Nov-23,1,123.84,0,5867.502,-,0
USEP,8-Nov-23,2,123.36,0,5754.42,-,0
USEP,8-Nov-23,3,130.9,0,5727.999,-,0
USEP,8-Nov-23,4,132.32,0,5679.8,-,0
USEP,8-Nov-23,5,132.29,0,5645.035,-,0
USEP,8-Nov-23,6,130.88,0,5604.798,-,0
USEP,8-Nov-23,7,123.78,0,5564.75,-,0
USEP,8-Nov-23,8,123.31,0,5550.183,-,0
USEP,8-Nov-23,9,122.53,0,5521.521,-,0
USEP,8-Nov-23,10,123.29,0,5561.469,-,0
USEP,8-Nov-23,11,124.17,0,5639.324,-,0
USEP,8-Nov-23,12,135.68,0,5795.75,-,0
USEP,8-Nov-23,13,170.61,0,6006.597,-,0
USEP,8-Nov-23,14,147.01,0,6163.023,-,0
USEP,8-Nov-23,15,136.49,0,6321.586,-,0
USEP,8-Nov-23,16,135.77,0,6514.919,-,0
USEP,8-Nov-23,17,135.84,0,6689.928,-,0
USEP,8-Nov-23,18,136.1,0,6763.205,-,0
USEP,8-Nov-23,19,135.75,0,6771.033,-,0
USEP,8-Nov-23,20,135.95,0,6765.512,-,0
USEP,8-Nov-23,21,135.76,0,6769.155,-,0
USEP,8-Nov-23,22,144.01,0,6855.787,-,0
USEP,8-Nov-23,23,141.76,0,6835.574,-,0
USEP,8-Nov-23,24,133.59,0,6796.36,-,0
USEP,8-Nov-23,25,133.6,0,6859.156,-,0
USEP,8-Nov-23,26,183.78,0,6983.098,-,0
USEP,8-Nov-23,27,280.85,0,7062.663,-,0
USEP,8-Nov-23,28,174.2,0,6967.835,-,0
USEP,8-Nov-23,29,130.97,0,6889.558,-,0
USEP,8-Nov-23,30,144,0,6991.15,-,0
USEP,8-Nov-23,31,280.82,0,7114.609,-,0
USEP,8-Nov-23,32,381.18,0,7176.675,-,0
USEP,8-Nov-23,33,393.79,4500,7187.855,-,12
USEP,8-Nov-23,34,367.7,4500,7182.496,-,13.8
USEP,8-Nov-23,35,351.99,1922.64,7158.661,-,12.8
USEP,8-Nov-23,36,215.06,0,7056.013,-,0
USEP,8-Nov-23,37,223.75,0,7018.758,-,0
USEP,8-Nov-23,38,184.17,0,7026.382,-,0
USEP,8-Nov-23,39,188.45,0,7023.663,-,0
USEP,8-Nov-23,40,177.74,0,7005.16,-,0
USEP,8-Nov-23,41,528.53,0,6996.148,-,6
USEP,8-Nov-23,42,528.33,0,6949.385,-,6
USEP,8-Nov-23,43,390.42,0,6889.697,-,0
USEP,8-Nov-23,44,234.49,0,6771.833,-,0
USEP,8-Nov-23,45,234.39,0,6609.18,-,0
USEP,8-Nov-23,46,183.49,0,6420.663,-,0
USEP,8-Nov-23,47,147.94,0,6272.04,-,0
USEP,8-Nov-23,48,137.17,0,6083.309,-,0
