"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","08-Nov-2023","1","123.84","0.00","5867.502","-","0.000"
"USEP","08-Nov-2023","2","123.36","0.00","5754.420","-","0.000"
"USEP","08-Nov-2023","3","130.90","0.00","5727.999","-","0.000"
"USEP","08-Nov-2023","4","132.32","0.00","5679.800","-","0.000"
"USEP","08-Nov-2023","5","132.29","0.00","5645.035","-","0.000"
"USEP","08-Nov-2023","6","130.88","0.00","5604.798","-","0.000"
"USEP","08-Nov-2023","7","123.78","0.00","5564.750","-","0.000"
"USEP","08-Nov-2023","8","123.31","0.00","5550.183","-","0.000"
"USEP","08-Nov-2023","9","122.53","0.00","5521.521","-","0.000"
"USEP","08-Nov-2023","10","123.29","0.00","5561.469","-","0.000"
"USEP","08-Nov-2023","11","124.17","0.00","5639.324","-","0.000"
"USEP","08-Nov-2023","12","135.68","0.00","5795.750","-","0.000"
"USEP","08-Nov-2023","13","170.61","0.00","6006.597","-","0.000"
"USEP","08-Nov-2023","14","147.01","0.00","6163.023","-","0.000"
"USEP","08-Nov-2023","15","136.49","0.00","6321.586","-","0.000"
"USEP","08-Nov-2023","16","135.77","0.00","6514.919","-","0.000"
"USEP","08-Nov-2023","17","135.84","0.00","6689.928","-","0.000"
"USEP","08-Nov-2023","18","136.10","0.00","6763.205","-","0.000"
"USEP","08-Nov-2023","19","135.75","0.00","6771.033","-","0.000"
"USEP","08-Nov-2023","20","135.95","0.00","6765.512","-","0.000"
"USEP","08-Nov-2023","21","135.76","0.00","6769.155","-","0.000"
"USEP","08-Nov-2023","22","144.01","0.00","6855.787","-","0.000"
"USEP","08-Nov-2023","23","141.76","0.00","6835.574","-","0.000"
"USEP","08-Nov-2023","24","133.59","0.00","6796.360","-","0.000"
"USEP","08-Nov-2023","25","133.60","0.00","6859.156","-","0.000"
"USEP","08-Nov-2023","26","183.78","0.00","6983.098","-","0.000"
"USEP","08-Nov-2023","27","280.85","0.00","7062.663","-","0.000"
"USEP","08-Nov-2023","28","174.20","0.00","6967.835","-","0.000"
"USEP","08-Nov-2023","29","130.97","0.00","6889.558","-","0.000"
"USEP","08-Nov-2023","30","144.00","0.00","6991.150","-","0.000"
"USEP","08-Nov-2023","31","280.82","0.00","7114.609","-","0.000"
"USEP","08-Nov-2023","32","381.18","0.00","7176.675","-","0.000"
"USEP","08-Nov-2023","33","393.79","4500.00","7187.855","-","12.000"
"USEP","08-Nov-2023","34","367.70","4500.00","7182.496","-","13.800"
"USEP","08-Nov-2023","35","351.99","1922.64","7158.661","-","12.800"
"USEP","08-Nov-2023","36","215.06","0.00","7056.013","-","0.000"
"USEP","08-Nov-2023","37","223.75","0.00","7018.758","-","0.000"
"USEP","08-Nov-2023","38","184.17","0.00","7026.382","-","0.000"
"USEP","08-Nov-2023","39","188.45","0.00","7023.663","-","0.000"
"USEP","08-Nov-2023","40","177.74","0.00","7005.160","-","0.000"
