INFORMATION TYPE,DATE,PERIOD,WEP ($/MWh),USEP ($/MWh),price_diff,sign
WEP,1-Nov-23,1,144.35,144.28,0.048493,0
WEP,1-Nov-23,2,145.21,144.27,0.647338,1
WEP,1-Nov-23,3,145.43,144.27,0.797635,1
WEP,1-Nov-23,4,145.22,144.26,0.661066,1
WEP,1-Nov-23,5,144.99,144.29,0.482792,1
WEP,1-Nov-23,6,144.8,144.12,0.469613,1
WEP,1-Nov-23,7,144.79,144.13,0.455833,1
WEP,1-Nov-23,8,144.91,144.08,0.572769,1
WEP,1-Nov-23,9,145.42,144.06,0.935222,1
WEP,1-Nov-23,10,145.53,144.07,1.003230,1
WEP,1-Nov-23,11,145.4,144.09,0.900963,1
WEP,1-Nov-23,12,164.89,163.68,0.733823,1
WEP,1-Nov-23,13,176.63,175.99,0.362339,1
WEP,1-Nov-23,14,215,214.19,0.376744,1
WEP,1-Nov-23,15,227.3,226.54,0.334360,1
WEP,1-Nov-23,16,250.8,248.93,0.745614,1
WEP,1-Nov-23,17,283.14,281.57,0.554496,1
WEP,1-Nov-23,18,357.89,354.81,0.860600,1
WEP,1-Nov-23,19,202.29,200.68,0.795887,1
WEP,1-Nov-23,20,174.47,173.88,0.338167,1
WEP,1-Nov-23,21,159.56,159.14,0.263224,1
WEP,1-Nov-23,22,199.96,200.69,-0.365073,-1
WEP,1-Nov-23,23,181.08,181.59,-0.281643,-1
WEP,1-Nov-23,24,154.95,155.42,-0.303324,-1
WEP,1-Nov-23,25,159.91,160.46,-0.343943,-1
WEP,1-Nov-23,26,214.64,214.77,-0.060567,0
WEP,1-Nov-23,27,392.37,386.95,1.381349,1
WEP,1-Nov-23,28,485.95,485.14,0.166684,1
WEP,1-Nov-23,29,186.01,184.47,0.827912,1
WEP,1-Nov-23,30,293.27,292.75,0.177311,1
WEP,1-Nov-23,31,203.51,202.49,0.501204,1
WEP,1-Nov-23,32,252,253.24,-0.492063,-1
WEP,1-Nov-23,33,296.64,295.33,0.441613,1
WEP,1-Nov-23,34,381.21,377.97,0.849925,1
WEP,1-Nov-23,35,378.39,375.34,0.806047,1
WEP,1-Nov-23,36,351.62,350.2,0.403845,1
WEP,1-Nov-23,37,177.52,174.02,1.971609,1
WEP,1-Nov-23,38,145.26,144.5,0.523200,1
WEP,1-Nov-23,39,146.37,144.5,1.277584,1
WEP,1-Nov-23,40,144.98,144.51,0.324183,1
WEP,1-Nov-23,41,145.44,144.51,0.639439,1
WEP,1-Nov-23,42,145.17,144.52,0.447751,1
WEP,1-Nov-23,43,393.47,393.43,0.010166,0
WEP,1-Nov-23,44,188.96,188.5,0.243438,1
WEP,1-Nov-23,45,165.33,163.62,1.034295,1
WEP,1-Nov-23,46,145.62,144.46,0.796594,1
WEP,1-Nov-23,47,164.14,163.48,0.402096,1
WEP,1-Nov-23,48,144.98,144.35,0.434543,1
WEP,2-Nov-23,1,134.53,133.65,0.654129,1
WEP,2-Nov-23,2,129.86,129.22,0.492838,1
WEP,2-Nov-23,3,130.84,130.22,0.473861,1
WEP,2-Nov-23,4,134.88,133.62,0.934164,1
WEP,2-Nov-23,5,134.32,133.61,0.528588,1
WEP,2-Nov-23,6,127.88,127.49,0.304973,1
WEP,2-Nov-23,7,128.78,128.34,0.341668,1
WEP,2-Nov-23,8,131.28,130.44,0.639854,1
WEP,2-Nov-23,9,128.51,127.37,0.887090,1
WEP,2-Nov-23,10,128.26,127.37,0.693903,1
WEP,2-Nov-23,11,128.41,127.39,0.794331,1
WEP,2-Nov-23,12,135.01,133.61,1.036960,1
WEP,2-Nov-23,13,141.4,140.23,0.827440,1
WEP,2-Nov-23,14,141,140.25,0.531915,1
WEP,2-Nov-23,15,139.23,138.18,0.754148,1
WEP,2-Nov-23,16,145.9,144.43,1.007539,1
WEP,2-Nov-23,17,160.87,160.39,0.298378,1
WEP,2-Nov-23,18,185.75,183.77,1.065949,1
