"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","10-Oct-2023","1","245.02","244.65","0.16","-0.890","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","2","235.21","234.86","0.14","-0.890","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","3","192.44","191.74","0.13","-0.530","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","4","173.66","173.35","0.14","-0.940","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","5","172.83","173.05","0.13","-1.460","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","6","155.21","155.21","0.13","-1.240","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","7","150.31","150.11","0.14","-1.050","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","8","150.55","150.11","0.14","-0.800","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","9","148.30","147.94","0.14","-0.880","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","10","155.51","155.19","0.14","-0.920","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","11","201.59","201.86","0.15","-1.520","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","12","222.74","222.94","0.17","-1.480","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","13","228.82","229.47","0.28","-2.030","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","14","240.16","240.78","0.29","-2.020","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","15","245.65","245.30","1.00","-1.750","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","16","273.83","274.31","1.07","-2.660","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","17","254.00","255.29","0.88","-3.270","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","18","272.19","273.17","1.50","-3.580","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","19","225.64","226.71","0.81","-2.990","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","20","239.68","241.91","0.99","-4.320","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","21","199.92","202.23","0.79","-4.200","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","22","226.89","229.90","0.73","-4.840","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","23","199.69","202.42","0.63","-4.460","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","24","207.17","209.69","0.49","-4.110","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","25","270.67","274.35","0.84","-5.620","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","26","292.40","294.37","0.92","-3.990","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","27","366.41","365.79","0.82","-1.300","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","28","293.77","294.47","0.78","-2.580","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","29","200.20","202.27","0.80","-3.970","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","30","193.27","196.89","0.76","-5.490","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","31","271.37","274.52","0.89","-5.140","0.00","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","32","407.48","410.50","1.99","-6.680","0.57","0.45","0.3703","0.0000","0.2820"
"WEP","10-Oct-2023","33","615.58","616.08","2.52","-9.270","5.15","0.45","0.3703","0.0000","0.2820"
