Time,Electricity Price,Battery Power,ESS Charge,ESS Discharge,"E[0,0]","E[0,1]","E[0,2]","E[1,0]","E[1,1]","E[1,2]","E[2,0]","E[2,1]","E[2,2]"
0,0.12384,0.0,-0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
1,0.12336,0.0,1.0,-0.0,0.0,279.675,55.935,0.0,0.0,0.0,0.0,0.0,0.0
2,0.13090000000000002,279.675,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
3,0.13232,223.74,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
4,0.13229,167.805,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
5,0.13088,111.87,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
6,0.12378,55.935,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
7,0.12331,0.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
8,0.12253,0.0,1.0,-0.0,0.0,300.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
9,0.12329000000000001,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
10,0.12417,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13568,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
12,0.17061,300.0,-0.0,1.0,0.0,0.0,0.0,244.065,0.0,55.935,0.0,0.0,0.0
13,0.14701,0.0,-0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
14,0.13649,0.0,-0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
15,0.13577,0.0,1.0,-0.0,0.0,111.87,55.935,0.0,0.0,0.0,0.0,0.0,0.0
16,0.13584000000000002,111.87,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
17,0.1361,55.935,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
18,0.13575,0.0,1.0,-0.0,0.0,223.74,55.935,0.0,0.0,0.0,0.0,0.0,0.0
19,0.13595,223.74,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
20,0.13576,167.805,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
21,0.14401,111.87,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
22,0.14176,55.935,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
23,0.13359000000000001,0.0,1.0,-0.0,0.0,300.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1336,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
25,0.18378,300.0,-0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
26,0.28085000000000004,300.0,-0.0,1.0,0.0,0.0,0.0,244.065,0.0,55.935,0.0,0.0,0.0
27,0.1742,0.0,-0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
28,0.13097,0.0,1.0,-0.0,0.0,300.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
29,0.144,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
30,0.28082,300.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
31,0.38118,300.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
32,0.39379000000000003,244.065,-0.0,1.0,0.0,0.0,0.0,132.195,0.0,55.935,0.0,0.0,0.0
33,0.36769999999999997,55.935,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
34,0.35199,0.0,-0.0,-0.0,0.0,0.0,55.935,0.0,0.0,0.0,0.0,0.0,0.0
35,0.21506,0.0,1.0,-0.0,0.0,55.935,55.935,0.0,0.0,0.0,0.0,0.0,0.0
36,0.22375,55.935,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.935,0.0,0.0,0.0
37,0.18417,0.0,1.0,-0.0,0.0,55.935,55.935,0.0,0.0,0.0,0.0,0.0,0.0
